"","No Controls","Main Controls","Full Controls"
"","b/se","b/se","b/se"
"τ = -4 (3+ yrs pre)","-.008403","-.0083941","-.0083595"
"",".0076472",".0076494",".0076493"
"τ = -3 (2-3 yrs pre)","-.0002349","-.0003533","-.0002993"
"",".0047167",".0047035",".0047039"
"τ = -2 (1-2 yrs pre)","-.0013058","-.0013802","-.0013417"
"",".0030398",".003032",".0030262"
"τ = 0 (0-1 yr post)",".0000564","-.0000485","-.0000269"
"",".0022981",".0023069",".0023073"
"τ = +1 (1-2 yrs post)","-.0043534","-.0045369","-.0045734"
"",".003973",".0039962",".0039949"
"τ = +2 (2-3 yrs post)","-.0090837","-.0092599","-.0092328"
"",".0059525",".0059857",".0059931"
"τ = +3 (3-4 yrs post)","-.0139362*","-.0138745*","-.0138639*"
"",".0071692",".0071397",".007142"
"τ = +4 (4+ yrs post)","-.0285252**","-.0287047**","-.0286562**"
"",".0112958",".0112955",".0113046"
"Observations","228,002","228,002","228,002"
"Within R²","0.0015","0.0029","0.0030"
