"","Intensity Quartiles"
"","b/se"
"τ = m4 × Q1",".0017368"
"",".0154114"
"τ = m3 × Q1",".0027856"
"",".0073238"
"τ = m2 × Q1","-.0024264"
"",".0047352"
"τ = p0 × Q1",".0008781"
"",".0044418"
"τ = p1 × Q1",".0020955"
"",".0050479"
"τ = p2 × Q1",".0045061"
"",".0086555"
"τ = p3 × Q1",".0082639"
"",".0106517"
"τ = p4 × Q1","-.0081674"
"",".0113357"
"τ = m4 × Q2","-.0193748"
"",".0159151"
"τ = m3 × Q2",".0008474"
"",".009505"
"τ = m2 × Q2",".0048446"
"",".0043052"
"τ = p0 × Q2",".0017618"
"",".0036753"
"τ = p1 × Q2","-.0119707"
"",".0077887"
"τ = p2 × Q2","-.0301316***"
"",".0106971"
"τ = p3 × Q2","-.0395593***"
"",".0147496"
"τ = p4 × Q2","-.0479319**"
"",".0185973"
"τ = m4 × Q3","-.0168558"
"",".010733"
"τ = m3 × Q3","-.0077078"
"",".0093894"
"τ = m2 × Q3","-.005086"
"",".0072093"
"τ = p0 × Q3","-.0033928"
"",".005496"
"τ = p1 × Q3","-.0072589"
"",".0091236"
"τ = p2 × Q3","-.0095972"
"",".0115638"
"τ = p3 × Q3","-.0242854*"
"",".0130588"
"τ = p4 × Q3","-.0315389"
"",".0191485"
"τ = m4 × Q4","-.0028352"
"",".0190412"
"τ = m3 × Q4",".0002709"
"",".006051"
"τ = m2 × Q4","-.004869"
"",".00318"
"τ = p0 × Q4",".0004146"
"",".0044766"
"τ = p1 × Q4","-.004842"
"",".006714"
"τ = p2 × Q4","-.014103"
"",".0162517"
"τ = p3 × Q4","-.0210857"
"",".022812"
"τ = p4 × Q4","-.0574376"
"",".0471565"
"Observations","228,002"
"Within R²","0.0039"
