"","Policies (Up)","Policies (Down)","Claims (Up)","Claims (Down)"
"","b/se","b/se","b/se","b/se"
"up_m4","-.0152078","","-.0612788**",""
"",".034083","",".0298039",""
"up_m3","-.0001354","","-.0838705*",""
"",".0332138","",".0449607",""
"up_m2","-.0173726","","-.033364",""
"",".0252197","",".0388932",""
"up_p0","-.0138333","","-.0663752**",""
"",".0126864","",".031331",""
"up_p1","-.008731","","-.0447988",""
"",".0160504","",".0372144",""
"up_p2",".002484","","-.0815634**",""
"",".0244407","",".0404813",""
"up_p3","-.0012999","","-.049005",""
"",".0292537","",".0426595",""
"up_p4","-.0102319","","-.0693229*",""
"",".0341162","",".038751",""
"down_m4","","-.0354355","",".0226518"
"","",".0319594","",".0169693"
"down_m3","","-.0559988*","",".0598693***"
"","",".0305786","",".0224857"
"down_m2","","-.0198268","",".0577467**"
"","",".0252582","",".0242828"
"down_p0","","-.0290817","",".0965419**"
"","",".0322631","",".0386845"
"down_p1","","-.0647957**","",".0486246*"
"","",".0311437","",".0290373"
"down_p2","","-.0923541**","",".051269*"
"","",".0429055","",".0275527"
"down_p3","","-.0481864","",".0291064"
"","",".0411464","",".0239475"
"down_p4","","-.0649357","",".0274849"
"","",".0698441","",".0173837"
"Observations","208,170","205,208","208,170","205,208"
"Within R²","0.0022","0.0025","0.0002","0.0002"
