"","Upzoned (Risk Up)","Downzoned (Risk Down)"
"","b/se","b/se"
"τ = -4 (3+ yrs pre)","-.0061182",""
"",".011511",""
"τ = -3 (2-3 yrs pre)",".0055164",""
"",".0065931",""
"τ = -2 (1-2 yrs pre)","-.0017624",""
"",".0025971",""
"τ = 0 (0-1 yr post)",".0044096",""
"",".0035502",""
"τ = +1 (1-2 yrs post)",".0008249",""
"",".0063291",""
"τ = +2 (2-3 yrs post)",".0004273",""
"",".0101922",""
"τ = +3 (3-4 yrs post)","-.0006207",""
"",".0121427",""
"τ = +4 (4+ yrs post)","-.0142022",""
"",".0170452",""
"τ = -4 (3+ yrs pre)","","-.0046181"
"","",".0143759"
"τ = -3 (2-3 yrs pre)","","-.0005079"
"","",".0102055"
"τ = -2 (1-2 yrs pre)","","-.0021483"
"","",".005812"
"τ = 0 (0-1 yr post)","",".0007591"
"","",".0062093"
"τ = +1 (1-2 yrs post)","","-.0016686"
"","",".008382"
"τ = +2 (2-3 yrs post)","","-.0057851"
"","",".012246"
"τ = +3 (3-4 yrs post)","","-.0085131"
"","",".014701"
"τ = +4 (4+ yrs post)","","-.0236822"
"","",".0186242"
"Observations","208,170","205,208"
"Within R²","0.0016","0.0018"
