"","Binary","× Strict Disclosure","× Broad Disclosure"
"","b/se","b/se","b/se"
"τ = -4 (3+ yrs pre)","-.0083941","-.0195763**","-.0136412"
"",".0076494",".0084585",".0122733"
"τ = -3 (2-3 yrs pre)","-.0003533","-.0027985","-.0055623"
"",".0047035",".004378",".0058132"
"τ = -2 (1-2 yrs pre)","-.0013802","-.0017211","-.0031922"
"",".003032",".0023785",".0029504"
"τ = 0 (0-1 yr post)","-.0000485",".0003166",".0055032*"
"",".0023069",".0027171",".0029713"
"τ = +1 (1-2 yrs post)","-.0045369","-.0050506",".0007657"
"",".0039962",".0051244",".0060482"
"τ = +2 (2-3 yrs post)","-.0092599","-.0086415",".0015654"
"",".0059857",".0083748",".0083503"
"τ = +3 (3-4 yrs post)","-.0138745*","-.0125985",".0013932"
"",".0071397",".011354",".0117128"
"τ = +4 (4+ yrs post)","-.0287047**","-.0324309*","-.0078637"
"",".0112955",".0193732",".0199008"
"τ = -4 × Disclosure","",".0280117*",""
"","",".0166406",""
"τ = -3 × Disclosure","",".0046751",""
"","",".0107493",""
"τ = -2 × Disclosure","","-.0001872",""
"","",".0067977",""
"τ = 0 × Disclosure","","-.0003052",""
"","",".004528",""
"τ = +1 × Disclosure","",".0009219",""
"","",".0080665",""
"τ = +2 × Disclosure","","-.0013847",""
"","",".0118563",""
"τ = +3 × Disclosure","","-.0026946",""
"","",".0139313",""
"τ = +4 × Disclosure","",".006453",""
"","",".0230723",""
"τ = -4 × Broad Disc.","","",".0084035"
"","","",".0155269"
"τ = -3 × Broad Disc.","","",".0076784"
"","","",".0085516"
"τ = -2 × Broad Disc.","","",".0027565"
"","","",".0050781"
"τ = 0 × Broad Disc.","","","-.0077045*"
"","","",".0042112"
"τ = +1 × Broad Disc.","","","-.0074596"
"","","",".0079198"
"τ = +2 × Broad Disc.","","","-.0148866"
"","","",".0113131"
"τ = +3 × Broad Disc.","","","-.0204213"
"","","",".0145297"
"τ = +4 × Broad Disc.","","","-.026038"
"","","",".0238159"
"Observations","228,002","228,002","228,002"
"Within R²","0.0029","0.0036","0.0033"
