tau,coef,se,ci_lo,ci_hi
pre,.0059260140730754,.0019526849489965,.0020987515730423,.0097532765731085
post,.0072764669377046,.0070079955248887,-.0064592042910773,.0210121381664864
-3,.0052703629086761,.0026381559767085,.0000995771943274,.0104411486230248
-2,.0057216145686723,.0022634549330225,.0012852428999482,.0101579862373964
-1,.0067860647418776,.002330969870538,.0022173637956231,.0113547656881321
0,.0061589335682244,.0025453227794503,.0011701009205018,.011147766215947
1,.004822879813816,.0045641354390814,-.0041228256467835,.0137685852744155
2,.0087511269018608,.0063161176099839,-.0036284636137076,.0211307174174292
3,.0147564048051147,.0085615605391777,-.0020242538516736,.031537063461903
4,.0071298043136829,.0111381585638969,-.014700986471555,.0289605950989208
5,.0020396522235291,.0142040223550347,-.0258002315923389,.0298795360393971
