"","count","mean","sd","min","p25","p50","p75","max"
"Home Value Index (Dec 2022 $)","216779","485250.48","403741.09","32424.71","235423.50","378775.38","600242.75","8125586.00"
"ln(Real ZHVI)","216779","12.85","0.67","11.36","12.37","12.84","13.31","14.55"
"ln(NFIP Policies + 1)","216779","2.50","1.81","0.00","1.10","2.12","3.78","7.87"
"ln(NFIP Claims + 1)","216779","0.11","0.47","0.00","0.00","0.00","0.00","8.16"
"Post-LOMR","216779","0.04","0.19","0.00","0.00","0.00","0.00","1.00"
"Ever Treated","216779","0.14","0.34","0.00","0.00","0.00","0.00","1.00"
"Policy Intensity (per 1,000)","216779","4.54","13.54","0.00","0.15","0.57","3.42","246.85"
"Treatment Intensity (per 1,000)","216779","3.61","32.30","0.00","0.00","0.00","0.00","944.01"
"Upzoned (into SFHA)","216779","0.05","0.21","0.00","0.00","0.00","0.00","1.00"
"Downzoned (out of SFHA)","216779","0.03","0.18","0.00","0.00","0.00","0.00","1.00"
"SFHA-Crossing LOMR","216779","0.08","0.27","0.00","0.00","0.00","0.00","1.00"
"County Unemp. Rate (%)","216779","6.47","2.90","1.70","4.23","5.80","8.27","31.40"
"NFIP Policies (qtr avg)","216779","67.88","167.74","0.00","2.00","7.33","42.67","2624.67"
"NFIP Avg Premium ($)","216779","706.89","631.50","0.00","357.22","562.07","909.93","19570.33"
"NFIP Claims (qtr avg)","216779","1.17","25.82","0.00","0.00","0.00","0.00","3498.00"
"Republican County","211632","0.49","0.50","0.00","0.00","0.00","1.00","1.00"
"R Two-Party Vote Share","211632","0.42","0.15","0.06","0.30","0.43","0.51","0.89"
"Disclosure: Strict (9 states)","216779","0.29","0.45","0.00","0.00","0.00","1.00","1.00"
"Disclosure: Broad (13 states)","216779","0.60","0.49","0.00","0.00","1.00","1.00","1.00"
"Zip Population","216779","22314.81","18644.16","1000.00","7052.00","18200.00","32552.00","136784.00"
"Zip Pop. Density","216779","2124.85","4619.38","1.10","121.70","751.30","2121.30","62798.40"
"SFHA Zone Share","216779","0.34","0.30","0.00","0.00","0.32","0.59","1.00"
