"","No Controls","Main Controls","Full Controls"
"","b/se","b/se","b/se"
"τ = -4 (3+ yrs pre)","-.0081799","-.0081732","-.0081348"
"",".0075158",".0075188",".0075189"
"τ = -3 (2-3 yrs pre)","-.0005358","-.000657","-.0006"
"",".0046225",".0046103",".0046122"
"τ = -2 (1-2 yrs pre)","-.001609","-.0016819","-.0016373"
"",".0029712",".0029632",".002959"
"τ = 0 (0-1 yr post)","-.0005185","-.0006282","-.0006024"
"",".0023383",".0023469",".0023467"
"τ = +1 (1-2 yrs post)","-.0044189","-.004611","-.0046408"
"",".0040299",".0040593",".0040544"
"τ = +2 (2-3 yrs post)","-.0086475","-.008799","-.0087688"
"",".0061144",".0061363",".0061412"
"τ = +3 (3-4 yrs post)","-.0129974*","-.0129475*","-.0129314*"
"",".0071143",".0070878",".007089"
"τ = +4 (4+ yrs post)","-.0248109**","-.0249933**","-.0249424**"
"",".0115027",".0115001",".011508"
"Observations","216,776","216,776","216,776"
"Within R²","0.0011","0.0026","0.0027"
