"","Intensity Quartiles"
"","b/se"
"τ = m4 × Q1","-.0003465"
"",".0165421"
"τ = m3 × Q1",".0009996"
"",".0077784"
"τ = m2 × Q1","-.0034497"
"",".0051105"
"τ = p0 × Q1",".0019062"
"",".0047465"
"τ = p1 × Q1",".0022457"
"",".0052448"
"τ = p2 × Q1",".0039088"
"",".0089066"
"τ = p3 × Q1",".0064254"
"",".0105893"
"τ = p4 × Q1","-.0115586"
"",".0112638"
"τ = m4 × Q2","-.0159979"
"",".0150627"
"τ = m3 × Q2",".003592"
"",".0084777"
"τ = m2 × Q2",".005344"
"",".0036897"
"τ = p0 × Q2","-.0017439"
"",".003956"
"τ = p1 × Q2","-.0129356"
"",".0079953"
"τ = p2 × Q2","-.0279347**"
"",".0112107"
"τ = p3 × Q2","-.0367018**"
"",".0154431"
"τ = p4 × Q2","-.0320619"
"",".02012"
"τ = m4 × Q3","-.0161843"
"",".0126045"
"τ = m3 × Q3","-.0083516"
"",".0114722"
"τ = m2 × Q3","-.0033629"
"",".0081805"
"τ = p0 × Q3","-.0047111"
"",".0055137"
"τ = p1 × Q3","-.0115582"
"",".0093263"
"τ = p2 × Q3","-.0157291"
"",".0111757"
"τ = p3 × Q3","-.0288437**"
"",".0138273"
"τ = p4 × Q3","-.0432775***"
"",".0164259"
"τ = m4 × Q4","-.0041392"
"",".0178512"
"τ = m3 × Q4","-.0011384"
"",".0058576"
"τ = m2 × Q4","-.0058243*"
"",".0031826"
"τ = p0 × Q4",".0031088"
"",".0041196"
"τ = p1 × Q4",".0037127"
"",".0072757"
"τ = p2 × Q4","-.0010027"
"",".0183026"
"τ = p3 × Q4","-.0045672"
"",".0260283"
"τ = p4 × Q4","-.0410668"
"",".0521079"
"Observations","216,776"
"Within R²","0.0034"
