"","Policies (Up)","Policies (Down)","Claims (Up)","Claims (Down)"
"","b/se","b/se","b/se","b/se"
"up_m4","-.0115236","","-.0668347**",""
"",".0337228","",".0315136",""
"up_m3",".0059425","","-.08981*",""
"",".0330314","",".0471274",""
"up_m2","-.0161748","","-.0382175",""
"",".0242331","",".0405137",""
"up_p0","-.0126585","","-.0714987**",""
"",".0125269","",".0329027",""
"up_p1","-.00782","","-.0464508",""
"",".0159905","",".0399155",""
"up_p2",".0029563","","-.0880229**",""
"",".0242548","",".0422778",""
"up_p3","-.0014248","","-.0511644",""
"",".029711","",".0453535",""
"up_p4","-.0094641","","-.0740607*",""
"",".0347889","",".0407175",""
"down_m4","","-.0353509","",".0189727"
"","",".0332029","",".0171444"
"down_m3","","-.0551892*","",".0616498***"
"","",".0314025","",".022941"
"down_m2","","-.0195984","",".0577192**"
"","",".0254781","",".0242187"
"down_p0","","-.0295355","",".0920476**"
"","",".0318116","",".0382238"
"down_p1","","-.0633275**","",".044729"
"","",".0311729","",".0293598"
"down_p2","","-.0912843**","",".0516595*"
"","",".0432183","",".0280092"
"down_p3","","-.0459757","",".0269796"
"","",".0403228","",".0220407"
"down_p4","","-.0608941","",".0274089"
"","",".0698884","",".0169226"
"Observations","197,168","194,159","197,168","194,159"
"Within R²","0.0020","0.0022","0.0002","0.0002"
