
="",="(1)",="(2)",="(3)"
="",="ln(Real ZHVI)",="ln(Real ZHVI)",="ln(Real ZHVI)"

="τ = -4 (3+ yrs pre)",="-0.00817",="-0.00654",=""
="",="(0.00752)",="(0.00586)",=""

="τ = -3 (2-3 yrs pre)",="-0.000657",="-0.00121",=""
="",="(0.00461)",="(0.00357)",=""

="τ = -2 (1-2 yrs pre)",="-0.00168",="-0.00185",=""
="",="(0.00296)",="(0.00231)",=""

="τ = 0 (0-1 yr post)",="-0.000628",="-0.000240",=""
="",="(0.00235)",="(0.00201)",=""

="τ = +1 (1-2 yrs post)",="-0.00461",="-0.00169",=""
="",="(0.00406)",="(0.00353)",=""

="τ = +2 (2-3 yrs post)",="-0.00880",="-0.00320",=""
="",="(0.00614)",="(0.00505)",=""

="τ = +3 (3-4 yrs post)",="-0.0129*",="-0.00523",=""
="",="(0.00709)",="(0.00633)",=""

="τ = +4 (4+ yrs post)",="-0.0250**",="-0.00940",=""
="",="(0.0115)",="(0.0119)",=""

="geo_m4",="",="",="-0.0806*"
="",="",="",="(0.0474)"

="geo_m3",="",="",="-0.0225"
="",="",="",="(0.0360)"

="geo_m2",="",="",="-0.0318"
="",="",="",="(0.0259)"

="geo_p0",="",="",="0.0111"
="",="",="",="(0.0205)"

="geo_p1",="",="",="-0.00358"
="",="",="",="(0.0328)"

="geo_p2",="",="",="0.00994"
="",="",="",="(0.0423)"

="geo_p3",="",="",="0.0232"
="",="",="",="(0.0557)"

="geo_p4",="",="",="0.0559"
="",="",="",="(0.0650)"

="Observations",="216,776",="216,776",="216,776"
="Within R²",="0.0026",="0.0014",="0.0017"

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
