"","Upzoned (Risk Up)","Downzoned (Risk Down)"
"","b/se","b/se"
"τ = -4 (3+ yrs pre)","-.0060342",""
"",".0113095",""
"τ = -3 (2-3 yrs pre)",".0051021",""
"",".0067133",""
"τ = -2 (1-2 yrs pre)","-.0020682",""
"",".0026496",""
"τ = 0 (0-1 yr post)",".0043985",""
"",".0036264",""
"τ = +1 (1-2 yrs post)",".0015524",""
"",".0064815",""
"τ = +2 (2-3 yrs post)",".0016659",""
"",".010359",""
"τ = +3 (3-4 yrs post)",".0006989",""
"",".0122456",""
"τ = +4 (4+ yrs post)","-.0139746",""
"",".0173725",""
"τ = -4 (3+ yrs pre)","","-.0054625"
"","",".0141562"
"τ = -3 (2-3 yrs pre)","","-.00143"
"","",".01013"
"τ = -2 (1-2 yrs pre)","","-.0025496"
"","",".0058011"
"τ = 0 (0-1 yr post)","",".0009701"
"","",".0062708"
"τ = +1 (1-2 yrs post)","","-.0007908"
"","",".0083478"
"τ = +2 (2-3 yrs post)","","-.0045923"
"","",".0125596"
"τ = +3 (3-4 yrs post)","","-.0069405"
"","",".0151586"
"τ = +4 (4+ yrs post)","","-.0201877"
"","",".0193972"
"Observations","197,168","194,159"
"Within R²","0.0017","0.0017"
