tau,coef,ci_lo,ci_hi,group,tau_plot,coef_disc,coef_nodisc,ci_lo_disc,ci_hi_disc,ci_lo_nodisc,ci_hi_nodisc,tau_disc,tau_nodisc
-4,.0093465243,-.017706111,.03639916,Disclosure,-4.1199999,.0093465243,,-.017706111,.03639916,,,-4.1199999,
-3,.0013353486,-.017705511,.020376209,Disclosure,-3.1199999,.0013353486,,-.017705511,.020376209,,,-3.1199999,
-2,-.0022074673,-.014637631,.010222697,Disclosure,-2.1199999,-.0022074673,,-.014637631,.010222697,,,-2.1199999,
-1,0,0,0,Disclosure,-1.12,0,,0,0,,,-1.12,
0,.000016426246,-.0070740636,.007106916,Disclosure,-.12,.000016426246,,-.0070740636,.007106916,,,-.12,
1,-.003402489,-.015438062,.0086330837,Disclosure,.88,-.003402489,,-.015438062,.0086330837,,,.88,
2,-.0084304065,-.026017105,.0091562932,Disclosure,1.88,-.0084304065,,-.026017105,.0091562932,,,1.88,
3,-.013200316,-.029705646,.0033050147,Disclosure,2.8800001,-.013200316,,-.029705646,.0033050147,,,2.8800001,
4,-.022565279,-.048551109,.0034205508,Disclosure,3.8800001,-.022565279,,-.048551109,.0034205508,,,3.8800001,
-4,-.019186823,-.035786852,-.0025867908,Non-Disclosure,-3.8800001,,-.019186823,,,-.035786852,-.0025867908,,-3.8800001
-3,-.0027701522,-.011633362,.0060930569,Non-Disclosure,-2.8800001,,-.0027701522,,,-.011633362,.0060930569,,-2.8800001
-2,-.0019614403,-.0068156379,.0028927571,Non-Disclosure,-1.88,,-.0019614403,,,-.0068156379,.0028927571,,-1.88
-1,0,0,0,Non-Disclosure,-.88,,0,,,0,0,,-.88
0,-.00067343132,-.006190653,.0048437905,Non-Disclosure,.12,,-.00067343132,,,-.006190653,.0048437905,,.12
1,-.0056915805,-.015960669,.0045775073,Non-Disclosure,1.12,,-.0056915805,,,-.015960669,.0045775073,,1.12
2,-.0091578523,-.025154106,.0068384008,Non-Disclosure,2.1199999,,-.0091578523,,,-.025154106,.0068384008,,2.1199999
3,-.012693288,-.033799507,.0084129302,Non-Disclosure,3.1199999,,-.012693288,,,-.033799507,.0084129302,,3.1199999
4,-.02787894,-.064936981,.0091791041,Non-Disclosure,4.1199999,,-.02787894,,,-.064936981,.0091791041,,4.1199999
