"","Binary","× Strict Disclosure","× Broad Disclosure"
"","b/se","b/se","b/se"
"τ = -4 (3+ yrs pre)","-.0081732","-.0191868**","-.0138822"
"",".0075188",".0084694",".0119253"
"τ = -3 (2-3 yrs pre)","-.000657","-.0027702","-.0046224"
"",".0046103",".004522",".0055905"
"τ = -2 (1-2 yrs pre)","-.0016819","-.0019614","-.0031488"
"",".0029632",".0024766",".002829"
"τ = 0 (0-1 yr post)","-.0006282","-.0006734",".0032424"
"",".0023469",".0028149",".0033436"
"τ = +1 (1-2 yrs post)","-.004611","-.0056916","-.0012479"
"",".0040593",".0052393",".0061667"
"τ = +2 (2-3 yrs post)","-.008799","-.0091579","-.0009469"
"",".0061363",".0081614",".0082499"
"τ = +3 (3-4 yrs post)","-.0129475*","-.0126933","-.0006684"
"",".0070878",".0107685",".0105827"
"τ = +4 (4+ yrs post)","-.0249933**","-.0278789",".0018978"
"",".0115001",".0189072",".0185633"
"τ = -4 × Disclosure","",".0285333*",""
"","",".0161878",""
"τ = -3 × Disclosure","",".0041055",""
"","",".0107081",""
"τ = -2 × Disclosure","","-.000246",""
"","",".0068068",""
"τ = 0 × Disclosure","",".0006899",""
"","",".0045793",""
"τ = +1 × Disclosure","",".0022891",""
"","",".0080627",""
"τ = +2 × Disclosure","",".0007274",""
"","",".0121172",""
"τ = +3 × Disclosure","","-.000507",""
"","",".0136739",""
"τ = +4 × Disclosure","",".0053137",""
"","",".0231125",""
"τ = -4 × Broad Disc.","","",".0092847"
"","","",".0151704"
"τ = -3 × Broad Disc.","","",".0061504"
"","","",".0083948"
"τ = -2 × Broad Disc.","","",".0024426"
"","","",".0050305"
"τ = 0 × Broad Disc.","","","-.0056444"
"","","",".0045374"
"τ = +1 × Broad Disc.","","","-.0051178"
"","","",".0081116"
"τ = +2 × Broad Disc.","","","-.0114346"
"","","",".0115554"
"τ = +3 × Broad Disc.","","","-.0171177"
"","","",".0138341"
"τ = +4 × Broad Disc.","","","-.034243"
"","","",".0230412"
"Observations","216,776","216,776","216,776"
"Within R²","0.0026","0.0032","0.0031"
