tau,coef,ci_lo,ci_hi,group,tau_plot,coef_rep,coef_dem,ci_lo_rep,ci_hi_rep,ci_lo_dem,ci_hi_dem,tau_rep,tau_dem
-4,.88023394,-.15298975,1.9134576,Republican,-4.1199999,.88023394,,-.15298975,1.9134576,,,-4.1199999,
-3,-.37305146,-.97941607,.23331311,Republican,-3.1199999,-.37305146,,-.97941607,.23331311,,,-3.1199999,
-2,-.50865054,-.87363154,-.14366956,Republican,-2.1199999,-.50865054,,-.87363154,-.14366956,,,-2.1199999,
-1,0,0,0,Republican,-1.12,0,,0,0,,,-1.12,
0,.13354161,-.51368076,.78076398,Republican,-.12,.13354161,,-.51368076,.78076398,,,-.12,
1,-.29924193,-1.1615236,.56303966,Republican,.88,-.29924193,,-1.1615236,.56303966,,,.88,
2,.40335727,-.84247661,1.6491911,Republican,1.88,.40335727,,-.84247661,1.6491911,,,1.88,
3,-.24972896,-2.3302095,1.8307514,Republican,2.8800001,-.24972896,,-2.3302095,1.8307514,,,2.8800001,
4,-1.1007483,-4.2015572,2.0000606,Republican,3.8800001,-1.1007483,,-4.2015572,2.0000606,,,3.8800001,
-4,-3.8170462,-7.3896713,-.24442118,Democratic,-3.8800001,,-3.8170462,,,-7.3896713,-.24442118,,-3.8800001
-3,2.1506138,1.1541768,3.1470506,Democratic,-2.8800001,,2.1506138,,,1.1541768,3.1470506,,-2.8800001
-2,.94332957,.16839086,1.7182683,Democratic,-1.88,,.94332957,,,.16839086,1.7182683,,-1.88
-1,0,0,0,Democratic,-.88,,0,,,0,0,,-.88
0,-1.0216285,-1.5692858,-.47397122,Democratic,.12,,-1.0216285,,,-1.5692858,-.47397122,,.12
1,-3.1378024,-4.6162114,-1.6593933,Democratic,1.12,,-3.1378024,,,-4.6162114,-1.6593933,,1.12
2,-5.9367142,-9.3957777,-2.4776504,Democratic,2.1199999,,-5.9367142,,,-9.3957777,-2.4776504,,2.1199999
3,-7.5609889,-11.497193,-3.6247845,Democratic,3.1199999,,-7.5609889,,,-11.497193,-3.6247845,,3.1199999
4,-13.689866,-16.089447,-11.290285,Democratic,4.1199999,,-13.689866,,,-16.089447,-11.290285,,4.1199999
