"","All LOMRs","SFHA-Crossing Only"
"","b/se","b/se"
"τ = -4 (3+ yrs pre)","-.0081732","-.0064921"
"",".0075188",".0090022"
"τ = -3 (2-3 yrs pre)","-.000657",".0028299"
"",".0046103",".0059653"
"τ = -2 (1-2 yrs pre)","-.0016819","-.0020496"
"",".0029632",".003153"
"τ = 0 (0-1 yr post)","-.0006282",".0025798"
"",".0023469",".0035308"
"τ = +1 (1-2 yrs post)","-.004611",".0002818"
"",".0040593",".0049861"
"τ = +2 (2-3 yrs post)","-.008799","-.0016995"
"",".0061363",".0075329"
"τ = +3 (3-4 yrs post)","-.0129475*","-.0035485"
"",".0070878",".009555"
"τ = +4 (4+ yrs post)","-.0249933**","-.0171724"
"",".0115001",".0127079"
"Observations","216,776","204,202"
"Within R²","0.0026","0.0019"
