excluded_state,coef_p4,se_p4,ci_lo_p4,ci_hi_p4,n_obs
1,-.024987713,.011498645,-.047525056,-.0024503693,214230
6,-.020567033,.017567551,-.054999433,.013865367,178858
9,-.02683517,.011499778,-.049374737,-.0042956043,211629
10,-.024933802,.011505367,-.047484323,-.0023832819,214525
11,-.024416296,.011696349,-.047341138,-.0014914518,215837
12,-.012984208,.0093762064,-.031361572,.0053931559,187504
13,-.024913089,.011507007,-.047466822,-.0023593539,215144
15,-.027403485,.01166989,-.050276469,-.0045305006,214000
22,-.024614085,.011488703,-.047131944,-.002096225,211331
23,-.025008943,.011499393,-.04754775,-.0024701329,210924
24,-.025200605,.011713307,-.048158687,-.0022425237,204544
25,-.027995983,.011708852,-.050945334,-.0050466335,206339
28,-.024986692,.011500413,-.047527499,-.0024458829,215638
33,-.02524044,.011568224,-.047914159,-.0025667208,214872
34,-.023641711,.01176727,-.046705559,-.0005778601,196170
36,-.028354796,.012309213,-.052480854,-.0042287386,194492
37,-.024723906,.011587832,-.047436059,-.0020117546,210697
41,-.024956854,.011499374,-.04749563,-.002418081,213360
42,-.026077557,.011854782,-.049312931,-.0028421839,212184
44,-.024478829,.011728418,-.047466528,-.0014911285,213372
45,-.025537299,.01151561,-.048107896,-.0029667036,213247
48,-.028998693,.011603637,-.05174182,-.0062555661,205942
51,-.02631129,.012455313,-.050723702,-.0018988764,206532
53,-.024807012,.011513384,-.047373246,-.0022407786,204477
