series,tau,coef,se,ci_lo,ci_hi
County,-4,-.008173205,.007518766,-.022909986,.0065635755
County,-3,-.00065701059,.0046103233,-.0096932435,.0083792228
County,-2,-.0016818858,.0029632153,-.0074897879,.0041260161
County,-1,0,0,0,0
County,0,-.00062823622,.0023468852,-.0052281311,.0039716586
County,1,-.0046110055,.0040593194,-.012567272,.0033452606
County,2,-.0087989625,.0061362619,-.020826036,.0032281114
County,3,-.012947485,.0070877573,-.026839489,.00094451947
County,4,-.024993345,.011500082,-.047533505,-.0024531833
State,-4,-.008173205,.011326932,-.030373992,.014027582
State,-3,-.00065701059,.0048839129,-.01022948,.0089154588
State,-2,-.0016818858,.002618578,-.0068142987,.0034505271
State,-1,0,0,0,0
State,0,-.00062823622,.0018709273,-.0042952537,.0030387812
State,1,-.0046110055,.0039565796,-.012365902,.0031438905
State,2,-.0087989625,.0068158135,-.022157956,.0045600319
State,3,-.012947485,.0078925509,-.028416885,.0025219142
State,4,-.024993345,.013457889,-.051370807,.0013841178
