"","count","mean","sd","min","p25","p50","p75","max"
"Home Value Index (Dec 2022 $)","127790","547403.47","449020.01","32424.71","265796.88","449199.30","675625.75","8125586.00"
"ln(Real ZHVI)","127790","12.97","0.69","11.36","12.49","13.02","13.42","14.56"
"ln(NFIP Policies + 1)","127790","2.63","1.86","0.00","1.10","2.20","4.06","7.87"
"ln(NFIP Claims + 1)","127790","0.12","0.50","0.00","0.00","0.00","0.00","7.94"
"Post-LOMR","127790","0.04","0.21","0.00","0.00","0.00","0.00","1.00"
"Ever Treated","127790","0.14","0.35","0.00","0.00","0.00","0.00","1.00"
"Policy Intensity (per 1,000)","127790","4.10","10.31","0.00","0.11","0.42","3.16","126.14"
"Treatment Intensity (per 1,000)","127790","4.79","40.04","0.00","0.00","0.00","0.00","944.01"
"Upzoned (into SFHA)","127790","0.04","0.20","0.00","0.00","0.00","0.00","1.00"
"Downzoned (out of SFHA)","127790","0.03","0.18","0.00","0.00","0.00","0.00","1.00"
"SFHA-Crossing LOMR","127790","0.08","0.27","0.00","0.00","0.00","0.00","1.00"
"County Unemp. Rate (%)","127790","6.53","2.90","1.70","4.27","5.83","8.40","29.80"
"NFIP Policies (qtr avg)","127790","79.65","185.71","0.00","2.00","8.00","57.00","2624.67"
"NFIP Avg Premium ($)","127790","748.21","707.77","0.00","353.94","563.08","962.68","19570.33"
"NFIP Claims (qtr avg)","127790","1.34","26.51","0.00","0.00","0.00","0.00","2814.33"
"Republican County","125450","0.37","0.48","0.00","0.00","0.00","1.00","1.00"
"R Two-Party Vote Share","125450","0.36","0.14","0.06","0.27","0.38","0.47","0.76"
"Disclosure: Strict (9 states)","127790","0.30","0.46","0.00","0.00","0.00","1.00","1.00"
"Disclosure: Broad (13 states)","127790","0.65","0.48","0.00","0.00","1.00","1.00","1.00"
"Zip Population","127790","27891.43","18235.88","110.00","14495.00","25460.00","37081.00","109931.00"
"Zip Pop. Density","127790","8633.73","13968.88","1001.40","2440.40","4349.40","8448.40","143070.70"
"SFHA Zone Share","127790","0.30","0.29","0.00","0.00","0.23","0.54","1.00"
