tau,coef,ci_lo,ci_hi,group,tau_plot,coef_up,coef_down,ci_lo_up,ci_hi_up,ci_lo_down,ci_hi_down,tau_up,tau_down
-4,.014593908,-.072094239,.10128205,Upzoned (risk ↑),-4.1199999,.014593908,,-.072094239,.10128205,,,-4.1199999,
-3,.019870209,-.066877112,.10661753,Upzoned (risk ↑),-3.1199999,.019870209,,-.066877112,.10661753,,,-3.1199999,
-2,-.0023774938,-.065594748,.060839761,Upzoned (risk ↑),-2.1199999,-.0023774938,,-.065594748,.060839761,,,-2.1199999,
-1,0,0,0,Upzoned (risk ↑),-1.12,0,,0,0,,,-1.12,
0,-.011967261,-.041306034,.017371511,Upzoned (risk ↑),-.12,-.011967261,,-.041306034,.017371511,,,-.12,
1,-.0068175378,-.039997682,.026362605,Upzoned (risk ↑),.88,-.0068175378,,-.039997682,.026362605,,,.88,
2,-.0028791027,-.055177972,.049419764,Upzoned (risk ↑),1.88,-.0028791027,,-.055177972,.049419764,,,1.88,
3,.003534107,-.064328291,.071396507,Upzoned (risk ↑),2.8800001,.003534107,,-.064328291,.071396507,,,2.8800001,
4,-.0061037894,-.085530952,.073323369,Upzoned (risk ↑),3.8800001,-.0061037894,,-.085530952,.073323369,,,3.8800001,
-4,-.033848096,-.10835803,.040661838,Downzoned (risk ↓),-3.8800001,,-.033848096,,,-.10835803,.040661838,,-3.8800001
-3,-.056674741,-.12747024,.014120759,Downzoned (risk ↓),-2.8800001,,-.056674741,,,-.12747024,.014120759,,-2.8800001
-2,-.016545501,-.074606724,.041515719,Downzoned (risk ↓),-1.88,,-.016545501,,,-.074606724,.041515719,,-1.88
-1,0,0,0,Downzoned (risk ↓),-.88,,0,,,0,0,,-.88
0,-.026653344,-.10094357,.047636878,Downzoned (risk ↓),.12,,-.026653344,,,-.10094357,.047636878,,.12
1,-.062742211,-.13423356,.0087491404,Downzoned (risk ↓),1.12,,-.062742211,,,-.13423356,.0087491404,,1.12
2,-.09177582,-.19115956,.0076079248,Downzoned (risk ↓),2.1199999,,-.09177582,,,-.19115956,.0076079248,,2.1199999
3,-.041921452,-.13761011,.053767201,Downzoned (risk ↓),3.1199999,,-.041921452,,,-.13761011,.053767201,,3.1199999
4,-.081136711,-.2343141,.072040685,Downzoned (risk ↓),4.1199999,,-.081136711,,,-.2343141,.072040685,,4.1199999
