
="",="(1)",="(2)",="(3)"
="",="ln(Real ZHVI)",="ln(Real ZHVI)",="ln(Real ZHVI)"

="τ = -4 (3+ yrs pre)",="-0.00929",="-0.00789",=""
="",="(0.00861)",="(0.00814)",=""

="τ = -3 (2-3 yrs pre)",="0.00226",="0.00256",=""
="",="(0.00548)",="(0.00500)",=""

="τ = -2 (1-2 yrs pre)",="-0.000708",="-0.000536",=""
="",="(0.00359)",="(0.00317)",=""

="τ = 0 (0-1 yr post)",="-0.00168",="-0.00201",=""
="",="(0.00274)",="(0.00270)",=""

="τ = +1 (1-2 yrs post)",="-0.00771",="-0.00478",=""
="",="(0.00486)",="(0.00480)",=""

="τ = +2 (2-3 yrs post)",="-0.0124*",="-0.00662",=""
="",="(0.00702)",="(0.00697)",=""

="τ = +3 (3-4 yrs post)",="-0.0168**",="-0.00883",=""
="",="(0.00805)",="(0.00808)",=""

="τ = +4 (4+ yrs post)",="-0.0306**",="-0.00948",=""
="",="(0.0131)",="(0.0147)",=""

="geo_m4",="",="",="-0.0655"
="",="",="",="(0.0455)"

="geo_m3",="",="",="-0.0204"
="",="",="",="(0.0341)"

="geo_m2",="",="",="-0.0351"
="",="",="",="(0.0273)"

="geo_p0",="",="",="0.0128"
="",="",="",="(0.0211)"

="geo_p1",="",="",="0.00423"
="",="",="",="(0.0334)"

="geo_p2",="",="",="0.0212"
="",="",="",="(0.0404)"

="geo_p3",="",="",="0.0342"
="",="",="",="(0.0520)"

="geo_p4",="",="",="0.0543"
="",="",="",="(0.0655)"

="Observations",="127,790",="127,790",="127,790"
="Within R²",="0.0030",="0.0013",="0.0016"

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
