tau,coef,ci_lo,ci_hi,group,tau_plot,coef_up,coef_down,ci_lo_up,ci_hi_up,ci_lo_down,ci_hi_down,tau_up,tau_down
-4,-.016247453,-.047184005,.014689097,Upzoned (risk ↑),-4.1199999,-.016247453,,-.047184005,.014689097,,,-4.1199999,
-3,.010358223,-.0067471815,.027463628,Upzoned (risk ↑),-3.1199999,.010358223,,-.0067471815,.027463628,,,-3.1199999,
-2,.00081481721,-.0052065747,.006836209,Upzoned (risk ↑),-2.1199999,.00081481721,,-.0052065747,.006836209,,,-2.1199999,
-1,0,0,0,Upzoned (risk ↑),-1.12,0,,0,0,,,-1.12,
0,.0015171851,-.0068074968,.0098418668,Upzoned (risk ↑),-.12,.0015171851,,-.0068074968,.0098418668,,,-.12,
1,-.002912943,-.016928731,.011102845,Upzoned (risk ↑),.88,-.002912943,,-.016928731,.011102845,,,.88,
2,-.0023828021,-.025560845,.020795239,Upzoned (risk ↑),1.88,-.0023828021,,-.025560845,.020795239,,,1.88,
3,-.0033610708,-.031302612,.024580469,Upzoned (risk ↑),2.8800001,-.0033610708,,-.031302612,.024580469,,,2.8800001,
4,-.023879148,-.064487271,.016728971,Upzoned (risk ↑),3.8800001,-.023879148,,-.064487271,.016728971,,,3.8800001,
-4,-.002688637,-.034364291,.028987017,Downzoned (risk ↓),-3.8800001,,-.002688637,,,-.034364291,.028987017,,-3.8800001
-3,-.0011231316,-.024324629,.022078367,Downzoned (risk ↓),-2.8800001,,-.0011231316,,,-.024324629,.022078367,,-2.8800001
-2,-.0033079034,-.016441867,.0098260595,Downzoned (risk ↓),-1.88,,-.0033079034,,,-.016441867,.0098260595,,-1.88
-1,0,0,0,Downzoned (risk ↓),-.88,,0,,,0,0,,-.88
0,-.000085725958,-.014091438,.013919986,Downzoned (risk ↓),.12,,-.000085725958,,,-.014091438,.013919986,,.12
1,-.004730673,-.023975199,.014513853,Downzoned (risk ↓),1.12,,-.004730673,,,-.023975199,.014513853,,1.12
2,-.0059986929,-.033661515,.021664128,Downzoned (risk ↓),2.1199999,,-.0059986929,,,-.033661515,.021664128,,2.1199999
3,-.0065828511,-.038863804,.025698103,Downzoned (risk ↓),3.1199999,,-.0065828511,,,-.038863804,.025698103,,3.1199999
4,-.017100705,-.053717807,.019516397,Downzoned (risk ↓),4.1199999,,-.017100705,,,-.053717807,.019516397,,4.1199999
