series,tau,coef,se,ci_lo,ci_hi,tau_plot,coef_up,coef_down,ci_lo_up,ci_hi_up,ci_lo_down,ci_hi_down,tau_up,tau_down
Downzoned,-4,-.1116285,2.2640567,-4.5491796,4.3259225,-3.8800001,,-.1116285,,,-4.5491796,4.3259225,,-3.8800001
Downzoned,-3,-.81899929,1.9650278,-4.670454,3.0324552,-2.8800001,,-.81899929,,,-4.670454,3.0324552,,-2.8800001
Downzoned,-2,-1.1810584,.9106313,-2.9658959,.60377896,-1.88,,-1.1810584,,,-2.9658959,.60377896,,-1.88
Downzoned,-1,0,0,0,0,-.88,,0,,,0,0,,-.88
Downzoned,0,.62467927,.57402599,-.50041163,1.7497703,.12,,.62467927,,,-.50041163,1.7497703,,.12
Downzoned,1,.60289091,1.9008543,-3.1227837,4.3285656,1.12,,.60289091,,,-3.1227837,4.3285656,,1.12
Downzoned,2,.44840798,3.3100815,-6.0393515,6.9361677,2.1199999,,.44840798,,,-6.0393515,6.9361677,,2.1199999
Downzoned,3,-.6532793,3.7709677,-8.0443764,6.7378173,3.1199999,,-.6532793,,,-8.0443764,6.7378173,,3.1199999
Downzoned,4,-4.8271484,5.4998198,-15.606795,5.952498,4.1199999,,-4.8271484,,,-15.606795,5.952498,,4.1199999
Upzoned,-4,.62597185,.57197011,-.49508956,1.7470332,-4.1199999,.62597185,,-.49508956,1.7470332,,,-4.1199999,
Upzoned,-3,1.0572132,1.1298454,-1.1572838,3.2717102,-3.1199999,1.0572132,,-1.1572838,3.2717102,,,-3.1199999,
Upzoned,-2,-.42351627,.39111754,-1.1901066,.34307411,-2.1199999,-.42351627,,-1.1901066,.34307411,,,-2.1199999,
Upzoned,-1,0,0,0,0,-1.12,0,,0,0,,,-1.12,
Upzoned,0,-.18306376,.50766438,-1.1780859,.81195837,-.12,-.18306376,,-1.1780859,.81195837,,,-.12,
Upzoned,1,-2.0323174,1.4084094,-4.7927999,.72816479,.88,-2.0323174,,-4.7927999,.72816479,,,.88,
Upzoned,2,-2.065429,1.5226814,-5.0498843,.91902649,1.88,-2.065429,,-5.0498843,.91902649,,,1.88,
Upzoned,3,-2.1120179,1.4343538,-4.9233513,.69931573,2.8800001,-2.1120179,,-4.9233513,.69931573,,,2.8800001,
Upzoned,4,-1.5480993,2.4001968,-6.2524853,3.1562865,3.8800001,-1.5480993,,-6.2524853,3.1562865,,,3.8800001,
