"","Upzoned (Risk Up)","Downzoned (Risk Down)"
"","b/se","b/se"
"τ = -4 (3+ yrs pre)","-.0162475",""
"",".015784",""
"τ = -3 (2-3 yrs pre)",".0103582",""
"",".0087272",""
"τ = -2 (1-2 yrs pre)",".0008148",""
"",".0030721",""
"τ = 0 (0-1 yr post)",".0015172",""
"",".0042473",""
"τ = +1 (1-2 yrs post)","-.0029129",""
"",".0071509",""
"τ = +2 (2-3 yrs post)","-.0023828",""
"",".0118255",""
"τ = +3 (3-4 yrs post)","-.0033611",""
"",".0142559",""
"τ = +4 (4+ yrs post)","-.0238791",""
"",".0207184",""
"τ = -4 (3+ yrs pre)","","-.0026886"
"","",".016161"
"τ = -3 (2-3 yrs pre)","","-.0011231"
"","",".0118375"
"τ = -2 (1-2 yrs pre)","","-.0033079"
"","",".006701"
"τ = 0 (0-1 yr post)","","-.0000857"
"","",".0071458"
"τ = +1 (1-2 yrs post)","","-.0047307"
"","",".0098186"
"τ = +2 (2-3 yrs post)","","-.0059987"
"","",".0141137"
"τ = +3 (3-4 yrs post)","","-.0065829"
"","",".0164699"
"τ = +4 (4+ yrs post)","","-.0171007"
"","",".0186822"
"Observations","115,235","114,187"
"Within R²","0.0020","0.0015"
