"","Pooled Intensity","Signed Intensity","Up + Down"
"","b/se","b/se","b/se"
"τ = -4 × intensity",".1963108","",""
"",".8795531","",""
"τ = -3 × intensity",".4490809","",""
"",".3363591","",""
"τ = -2 × intensity","-.1066833","",""
"",".2851473","",""
"τ = 0 × intensity","-.1898857","",""
"",".4322758","",""
"τ = +1 × intensity","-1.686985***","",""
"",".4927322","",""
"τ = +2 × intensity","-2.812966***","",""
"",".9203864","",""
"τ = +3 × intensity","-3.988828***","",""
"","1.02906","",""
"τ = +4 × intensity","-7.68789***","",""
"","2.544762","",""
"τ = -4 × signed intensity","",".4967541",""
"","",".9041096",""
"τ = -3 × signed intensity","","1.011342",""
"","","1.031601",""
"τ = -2 × signed intensity","",".0617368",""
"","",".5557893",""
"τ = 0 × signed intensity","","-.3196542",""
"","",".46306",""
"τ = +1 × signed intensity","","-1.379563",""
"","","1.444242",""
"τ = +2 × signed intensity","","-1.444062",""
"","","1.923947",""
"τ = +3 × signed intensity","","-1.191696",""
"","","1.873243",""
"τ = +4 × signed intensity","",".0922284",""
"","","2.270198",""
"iup_m4","","",".6259719"
"","","",".5719701"
"iup_m3","","","1.057213"
"","","","1.129845"
"iup_m2","","","-.4235163"
"","","",".3911175"
"iup_p0","","","-.1830638"
"","","",".5076644"
"iup_p1","","","-2.032317"
"","","","1.408409"
"iup_p2","","","-2.065429"
"","","","1.522681"
"iup_p3","","","-2.112018"
"","","","1.434354"
"iup_p4","","","-1.548099"
"","","","2.400197"
"idown_m4","","","-.1116285"
"","","","2.264057"
"idown_m3","","","-.8189993"
"","","","1.965028"
"idown_m2","","","-1.181058"
"","","",".9106313"
"idown_p0","","",".6246793"
"","","",".574026"
"idown_p1","","",".6028909"
"","","","1.900854"
"idown_p2","","",".448408"
"","","","3.310081"
"idown_p3","","","-.6532793"
"","","","3.770968"
"idown_p4","","","-4.827149"
"","","","5.49982"
"Observations","127,734","127,734","127,734"
"Within R²","0.0043","0.0014","0.0016"
