tau,coef,ci_lo,ci_hi,group,tau_plot,coef_disc,coef_nodisc,ci_lo_disc,ci_hi_disc,ci_lo_nodisc,ci_hi_nodisc,tau_disc,tau_nodisc
-4,.0094717536,-.021261025,.040204532,Disclosure,-4.1199999,.0094717536,,-.021261025,.040204532,,,-4.1199999,
-3,.0016142845,-.020809039,.024037607,Disclosure,-3.1199999,.0016142845,,-.020809039,.024037607,,,-3.1199999,
-2,-.0027501897,-.017683366,.012182987,Disclosure,-2.1199999,-.0027501897,,-.017683366,.012182987,,,-2.1199999,
-1,0,0,0,Disclosure,-1.12,0,,0,0,,,-1.12,
0,-.001133707,-.0094961589,.0072287447,Disclosure,-.12,-.001133707,,-.0094961589,.0072287447,,,-.12,
1,-.0047563459,-.018821241,.0093085496,Disclosure,.88,-.0047563459,,-.018821241,.0093085496,,,.88,
2,-.010467703,-.029681258,.0087458529,Disclosure,1.88,-.010467703,,-.029681258,.0087458529,,,1.88,
3,-.016463876,-.034744032,.0018162811,Disclosure,2.8800001,-.016463876,,-.034744032,.0018162811,,,2.8800001,
4,-.024585718,-.054412831,.0052413936,Disclosure,3.8800001,-.024585718,,-.054412831,.0052413936,,,3.8800001,
-4,-.022269428,-.041464485,-.0030743673,Non-Disclosure,-3.8800001,,-.022269428,,,-.041464485,-.0030743673,,-3.8800001
-3,.0014859067,-.0078718569,.01084367,Non-Disclosure,-2.8800001,,.0014859067,,,-.0078718569,.01084367,,-2.8800001
-2,-.0004497224,-.0053290944,.0044296496,Non-Disclosure,-1.88,,-.0004497224,,,-.0053290944,.0044296496,,-1.88
-1,0,0,0,Non-Disclosure,-.88,,0,,,0,0,,-.88
0,-.0016498202,-.0077284952,.0044288551,Non-Disclosure,.12,,-.0016498202,,,-.0077284952,.0044288551,,.12
1,-.010463453,-.022241127,.0013142203,Non-Disclosure,1.12,,-.010463453,,,-.022241127,.0013142203,,1.12
2,-.01406081,-.032513108,.0043914886,Non-Disclosure,2.1199999,,-.01406081,,,-.032513108,.0043914886,,2.1199999
3,-.017089147,-.041656442,.0074781491,Non-Disclosure,3.1199999,,-.017089147,,,-.041656442,.0074781491,,3.1199999
4,-.038031369,-.0803224,.0042596594,Non-Disclosure,4.1199999,,-.038031369,,,-.0803224,.0042596594,,4.1199999
