"","Binary","× Strict Disclosure","× Broad Disclosure"
"","b/se","b/se","b/se"
"τ = -4 (3+ yrs pre)","-.0092863","-.0222694**","-.0138933"
"",".0086089",".0097934",".0157783"
"τ = -3 (2-3 yrs pre)",".0022596",".0014859","-.0033783"
"",".0054777",".0047744",".0073748"
"τ = -2 (1-2 yrs pre)","-.0007081","-.0004497","-.0020568"
"",".003593",".0024895",".0037348"
"τ = 0 (0-1 yr post)","-.0016767","-.0016498",".0054134"
"",".0027389",".0031014",".0038357"
"τ = +1 (1-2 yrs post)","-.00771","-.0104635*","-.0023106"
"",".004856",".006009",".0078605"
"τ = +2 (2-3 yrs post)","-.0123686*","-.0140608","-.0003319"
"",".0070179",".0094144",".0106531"
"τ = +3 (3-4 yrs post)","-.0168179**","-.0170891",".002727"
"",".0080535",".0125343",".0146823"
"τ = +4 (4+ yrs post)","-.0305878**","-.0380314*","-.0046452"
"",".0130779",".0215771",".0249886"
"τ = -4 × Disclosure","",".0317412*",""
"","",".0184784",""
"τ = -3 × Disclosure","",".0001284",""
"","",".0123872",""
"τ = -2 × Disclosure","","-.0023005",""
"","",".0080144",""
"τ = 0 × Disclosure","",".0005161",""
"","",".0052731",""
"τ = +1 × Disclosure","",".0057071",""
"","",".0093606",""
"τ = +2 × Disclosure","",".0035931",""
"","",".0135794",""
"τ = +3 × Disclosure","",".0006253",""
"","",".0156356",""
"τ = +4 × Disclosure","",".0134457",""
"","",".0264303",""
"τ = -4 × Broad Disc.","","",".0073915"
"","","",".0187455"
"τ = -3 × Broad Disc.","","",".008149"
"","","",".0102553"
"τ = -2 × Broad Disc.","","",".0020744"
"","","",".0060348"
"τ = 0 × Broad Disc.","","","-.0094187*"
"","","",".0051568"
"τ = +1 × Broad Disc.","","","-.0072842"
"","","",".0098957"
"τ = +2 × Broad Disc.","","","-.0158623"
"","","",".0137416"
"τ = +3 × Broad Disc.","","","-.025074"
"","","",".0174462"
"τ = +4 × Broad Disc.","","","-.0313527"
"","","",".0290424"
"Observations","127,790","127,790","127,790"
"Within R²","0.0030","0.0038","0.0034"
