tau,coef,ci_lo,ci_hi,group,tau_plot,coef_rep,coef_dem,ci_lo_rep,ci_hi_rep,ci_lo_dem,ci_hi_dem,tau_rep,tau_dem
-4,.9058432,-.54478097,2.3564675,Republican,-4.1199999,.9058432,,-.54478097,2.3564675,,,-4.1199999,
-3,.084955029,-.51199585,.68190593,Republican,-3.1199999,.084955029,,-.51199585,.68190593,,,-3.1199999,
-2,-.433788,-.7323125,-.13526352,Republican,-2.1199999,-.433788,,-.7323125,-.13526352,,,-2.1199999,
-1,0,0,0,Republican,-1.12,0,,0,0,,,-1.12,
0,.043381218,-.94597316,1.0327356,Republican,-.12,.043381218,,-.94597316,1.0327356,,,-.12,
1,-.99773121,-2.6393342,.64387172,Republican,.88,-.99773121,,-2.6393342,.64387172,,,.88,
2,-.3878164,-1.8654534,1.0898206,Republican,1.88,-.3878164,,-1.8654534,1.0898206,,,1.88,
3,-1.3782573,-3.4001539,.64363927,Republican,2.8800001,-1.3782573,,-3.4001539,.64363927,,,2.8800001,
4,-2.0146697,-5.3856468,1.3563073,Republican,3.8800001,-2.0146697,,-5.3856468,1.3563073,,,3.8800001,
-4,-2.6874664,-6.2850094,.91007644,Democratic,-3.8800001,,-2.6874664,,,-6.2850094,.91007644,,-3.8800001
-3,2.140259,1.2279592,3.0525591,Democratic,-2.8800001,,2.140259,,,1.2279592,3.0525591,,-2.8800001
-2,.99504447,.23114821,1.7589408,Democratic,-1.88,,.99504447,,,.23114821,1.7589408,,-1.88
-1,0,0,0,Democratic,-.88,,0,,,0,0,,-.88
0,-1.1233824,-1.6104156,-.63634938,Democratic,.12,,-1.1233824,,,-1.6104156,-.63634938,,.12
1,-3.2235117,-4.5312533,-1.9157699,Democratic,1.12,,-3.2235117,,,-4.5312533,-1.9157699,,1.12
2,-5.6898551,-9.071825,-2.3078849,Democratic,2.1199999,,-5.6898551,,,-9.071825,-2.3078849,,2.1199999
3,-6.9514365,-10.703894,-3.1989799,Democratic,3.1199999,,-6.9514365,,,-10.703894,-3.1989799,,3.1199999
4,-12.608377,-14.942405,-10.27435,Democratic,4.1199999,,-12.608377,,,-14.942405,-10.27435,,4.1199999
