"","All LOMRs","SFHA-Crossing Only"
"","b/se","b/se"
"τ = -4 (3+ yrs pre)","-.0092863","-.0106697"
"",".0086089",".0112517"
"τ = -3 (2-3 yrs pre)",".0022596",".0054658"
"",".0054777",".0074046"
"τ = -2 (1-2 yrs pre)","-.0007081","-.0007745"
"",".003593",".0037874"
"τ = 0 (0-1 yr post)","-.0016767",".000292"
"",".0027389",".0042988"
"τ = +1 (1-2 yrs post)","-.00771","-.0042346"
"",".004856",".005992"
"τ = +2 (2-3 yrs post)","-.0123686*","-.0050215"
"",".0070179",".0085771"
"τ = +3 (3-4 yrs post)","-.0168179**","-.0061233"
"",".0080535",".0106643"
"τ = +4 (4+ yrs post)","-.0305878**","-.020881"
"",".0130779",".0136525"
"Observations","127,790","119,675"
"Within R²","0.0030","0.0020"
