tau,coef,se,ci_lo,ci_hi
pre,.0053935832748444,.0025315852880486,.0004316761102691,.0103554904394197
post,-.0033749102278703,.0085116201725689,-.0200576857661053,.0133078653103647
-3,.0044907571405985,.0034378473244726,-.0022474236153678,.0112289378965648
-2,.0059642774470682,.0029729374903302,.000137319966021,.0117912349281154
-1,.0057257152368666,.0029709429405265,-.0000973329265653,.0115487634002985
0,.0049625871632754,.0033151363025662,-.0015350799897544,.0114602543163052
1,-.0032633829423572,.0055838629542205,-.0142077543326294,.007680988447915
2,-.0023949680368247,.0075671314870047,-.0172265457513539,.0124366096777045
3,.0051933729349817,.0105565706155624,-.0154975054715206,.025884251341484
4,-.0066562906743468,.0134902953939955,-.033097269646578,.0197846882978844
5,-.0180907798119504,.0169428735471301,-.0512988119643254,.0151172523404246
