series,tau,coef,se,ci_lo,ci_hi
County,-4,-.0092862733,.0086088916,-.0261597,.0075871539
County,-3,.0022595595,.005477712,-.0084767565,.012995875
County,-2,-.00070806011,.0035929994,-.0077503389,.0063342187
County,-1,0,0,0,0
County,0,-.0016766608,.002738907,-.0070449184,.0036915969
County,1,-.0077099535,.0048559904,-.017227694,.0018077876
County,2,-.012368561,.0070178634,-.026123572,.0013864507
County,3,-.016817916,.0080535123,-.032602798,-.0010330314
County,4,-.030587845,.0130779,-.056220528,-.0049551618
State,-4,-.0092862733,.012797413,-.034369204,.015796656
State,-3,.0022595595,.0046921014,-.006936959,.011456078
State,-2,-.00070806011,.0027040851,-.0060080672,.0045919465
State,-1,0,0,0,0
State,0,-.0016766608,.0023081561,-.006200647,.0028473253
State,1,-.0077099535,.0051825577,-.017867766,.0024478594
State,2,-.012368561,.0081923716,-.02842561,.0036884868
State,3,-.016817916,.0095733348,-.035581652,.0019458203
State,4,-.030587845,.015018514,-.060024135,-.0011515571
